raw_row_number,date,time,location,lat,lng,precinct,reporting_area,zone,subject_age,officer_id_hash,type,arrest_made,citation_issued,warning_issued,outcome,contraband_found,contraband_drugs,contraband_weapons,frisk_performed,search_conducted,search_person,search_vehicle,search_basis,vehicle_registration_state,notes,year,month,subject_race_asian/pacific islander,subject_race_black,subject_race_hispanic,subject_race_other,subject_race_unknown,subject_race_white,subject_sex_female,subject_sex_male,violation_child restraint,violation_investigative stop,violation_moving traffic violation,violation_parking violation,violation_registration,violation_safety violation,violation_seatbelt violation,violation_vehicle equipment violation,subject_race,subject_sex,violation,stardate
908293,2012-06-01,16:18:00,"33RD AVE N & JOHN A MERRITT BLVD, NASHVILLE, TN, 37209",36.1671271,-86.82694389999996,6.0,4503.0,613.0,21.0,e562769ea0,vehicular,False,False,True,warning,,,,False,False,False,False,,TN,,2012,6,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,black,male,moving traffic violation,2012-06-01 16:18:00
2660297,2017-01-01,07:55:00,"5819 OLD HARDING PIKE, NASHVILLE, TN, 37205",36.1014148,-86.87155990000002,1.0,4915.0,121.0,51.0,a9e3132c9f,vehicular,False,False,True,warning,,,,False,False,False,False,,CO,,2017,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,white,female,moving traffic violation,2017-01-01 07:55:00
2958658,2018-04-01,04:49:00,"2200 BRICK CHURCH PIKE, NASHVILLE, TN, 37207",36.2073283,-86.7782936,6.0,3019.0,621.0,26.0,5c3fe4aefc,vehicular,False,False,True,warning,,,,False,False,False,False,,FL,,2018,4,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,white,female,vehicle equipment violation,2018-04-01 04:49:00
1503959,2013-11-01,16:02:00,"10TH AVE S & CARUTHERS AVE, NASHVILLE, TN, 37204",36.12556770000001,-86.78631829999998,8.0,6925.0,823.0,28.0,cf72c2298a,vehicular,False,False,True,warning,,,,False,False,False,False,,TN,,2013,11,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,white,male,moving traffic violation,2013-11-01 16:02:00
3088756,2019-01-01,19:29:00,"HERMITAGE AVE & MIDDLETON ST, NASHVILLE, TN, 37210",36.1552408,-86.76477530000004,4.0,4001.0,425.0,30.0,007d7104a8,vehicular,False,False,True,warning,,,,False,False,False,False,,MI,,2019,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,white,male,vehicle equipment violation,2019-01-01 19:29:00
2491386,2016-06-01,16:30:00,"316 PEACHTREE ST, NASHVILLE, TN, 37210",36.120614,-86.74685900000001,3,8319.0,313,56.0,37810c10d6,vehicular,False,False,True,warning,,,,False,False,False,False,,TN,,2016,6,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,white,male,moving traffic violation,2016-06-01 16:30:00
1433775,2013-08-01,10:27:00,"HILLSBORO PIKE & WOODMONT BLVD, NASHVILLE, TN, 37215",36.1139663,-86.81088249999998,1.0,6013.0,117.0,41.0,825f6ab981,vehicular,False,False,True,warning,,,,False,False,False,False,,TN,,2013,8,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,white,female,vehicle equipment violation,2013-08-01 10:27:00
766478,2012-02-01,10:57:00,"OLD HICKORY BLVD & LEBANON PIKE, , TN, 37076",36.1984469,-86.62019959999998,,,,44.0,e05e99c1e2,vehicular,False,False,True,warning,,,,False,False,False,False,,TN,,2012,2,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,white,female,moving traffic violation,2012-02-01 10:57:00
2048089,2015-03-01,21:45:00,"S 6TH ST & SYLVAN ST, NASHVILLE, TN, 37206",36.1672424,-86.75968320000001,2.0,1013.0,211.0,22.0,a48b378e7c,vehicular,False,False,True,warning,,,,False,False,False,False,,TN,,2015,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,white,female,vehicle equipment violation,2015-03-01 21:45:00
773751,2012-02-01,23:54:00,"DONNA KAY DR & PARAGON MILLS RD, NASHVILLE, TN, 37211",36.0871245,-86.707977,3,8441.0,317,19.0,a0a3b03068,vehicular,False,True,False,citation,0.0,0.0,0.0,True,True,False,True,consent,TN,STOPPED FOR MUFFLER NOISE,2012,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,hispanic,male,vehicle equipment violation,2012-02-01 23:54:00
829784,2012-04-01,11:40:00,"6701 BURKITT RD, NOLENSVILLE, TN, 37135",35.988919,-86.65004300000004,3.0,8773.0,333.0,40.0,eeb3c63112,vehicular,False,False,True,warning,,,,False,False,False,False,,TN,,2012,4,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,black,female,moving traffic violation,2012-04-01 11:40:00
570630,2011-08-01,00:21:00,"LARGO DR & TRAVELERS INN DR, NASHVILLE, TN, 37211",36.0843702,-86.70316079999998,3.0,8705.0,321.0,24.0,498350de5b,vehicular,False,False,True,warning,0.0,0.0,0.0,True,True,True,True,consent,TN,,2011,8,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,white,male,vehicle equipment violation,2011-08-01 00:21:00
2435096,2016-04-01,08:50:00,"6922 HWY 70 S, NASHVILLE, TN, 37221",36.0786316,-86.91081109999998,,,,32.0,7dcd081b3c,vehicular,False,False,True,warning,,,,False,False,False,False,,TN,-- IN A -- MPH ZONE,2016,4,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,black,female,moving traffic violation,2016-04-01 08:50:00
2017181,2015-01-01,12:45:00,"3150 MCGAVOCK PIKE, NASHVILLE, TN, 37214",36.1856854,-86.67905119999998,5,9221.0,515,32.0,1130f73364,vehicular,False,False,True,warning,,,,False,False,False,False,,TN,,2015,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,white,female,moving traffic violation,2015-01-01 12:45:00
2914642,2018-02-01,13:24:00,"38TH AVE N & CHARLOTTE AVE, NASHVILLE, TN, 37209",36.1525885,-86.83098259999998,1.0,5229.0,113.0,30.0,a9b7a026f0,vehicular,False,False,True,warning,,,,False,False,False,False,,TN,,2018,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,white,male,vehicle equipment violation,2018-02-01 13:24:00
3072389,2018-10-01,20:31:00,"FATHERLAND ST & S 11TH ST, NASHVILLE, TN, 37206",36.17413670000001,-86.7503438,2.0,1203.0,213.0,31.0,00be146840,vehicular,False,False,True,warning,,,,False,False,False,False,,TN,,2018,10,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,black,female,moving traffic violation,2018-10-01 20:31:00
2769871,2017-07-01,07:39:00,"6921 HWY 100, NASHVILLE, TN, 37221",36.06483000000001,-86.88565,1.0,6211.0,117.0,21.0,b5ca91d71f,vehicular,False,True,False,citation,,,,False,False,False,False,,TN,,2017,7,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,white,female,moving traffic violation,2017-07-01 07:39:00
1202633,2013-02-01,13:36:00,"BRILEY PKWY N & MURFREESBORO PIKE, NASHVILLE, TN, 37217",36.122074,-86.70241899999998,5.0,8998.0,531.0,25.0,83fbfcfd39,vehicular,False,True,False,citation,,,,False,False,False,False,,TN,,2013,2,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,white,male,moving traffic violation,2013-02-01 13:36:00
2884101,2018-01-01,16:11:00,"15TH AVE S & WEDGEWOOD AVE, NASHVILLE, TN, 37212",36.1360088,-86.7919838,8.0,6617.0,811.0,35.0,c14826dac9,vehicular,False,False,True,warning,,,,False,False,False,False,,TN,,2018,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,white,female,registration,2018-01-01 16:11:00
2541377,2016-08-01,00:08:00,"ANNA CT & EWING DR, NASHVILLE, TN, 37207",36.2313415,-86.77834519999998,7.0,2001.0,721.0,33.0,1b55d714e1,vehicular,False,False,True,warning,,,,False,False,False,False,,TN,PLATE LIGHTS OUT,2016,8,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,black,male,vehicle equipment violation,2016-08-01 00:08:00
2735307,2017-05-01,22:18:00,"BELL RD & MORRIS GENTRY BLVD, ANTIOCH, TN, 37013",36.0665953,-86.63670499999998,3.0,8865.0,333.0,28.0,89ff60b14d,vehicular,False,False,True,warning,,,,False,False,False,False,,TN,,2017,5,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,black,male,safety violation,2017-05-01 22:18:00
259640,2010-11-01,13:05:00,"12TH AVE S & SOUTH ST, NASHVILLE, TN, 37203",36.1474496,-86.7856922,8.0,6723.0,811.0,31.0,7f11c3c73c,vehicular,False,False,True,warning,,,,False,False,False,False,,TN,,2010,11,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,white,female,moving traffic violation,2010-11-01 13:05:00
2474395,2016-05-01,21:17:00,"CENTRAL PIKE & VALLEY GROVE DR, HERMITAGE, TN, 37076",36.1719646,-86.5916579,5,9557.0,523,39.0,b3d18aa8ec,vehicular,False,False,True,warning,0.0,0.0,0.0,False,True,False,True,plain view,TN,,2016,5,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,black,male,moving traffic violation,2016-05-01 21:17:00
160259,2010-07-01,22:01:00,"ED TEMPLE BLVD & W HEIMAN ST, NASHVILLE, TN, 37208",36.1696565,-86.8213153,6.0,4523.0,613.0,24.0,7a3d4f41d2,vehicular,False,False,True,warning,,,,False,False,False,False,,TN,,2010,7,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,white,male,moving traffic violation,2010-07-01 22:01:00
507672,2011-06-01,09:05:00,"I 440 E & I 65 N, NASHVILLE, TN, 37204",36.1113502,-86.7716763,8.0,8306.0,825.0,38.0,39c3a6436c,vehicular,False,False,True,warning,,,,False,False,False,False,,TN,,2011,6,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,asian/pacific islander,male,moving traffic violation,2011-06-01 09:05:00
3011927,2018-07-01,02:30:00,"N 8TH ST & MAIN ST, NASHVILLE, TN, 37206",36.1753464,-86.75882209999996,2.0,1999.0,227.0,26.0,6e95f38057,vehicular,False,False,True,warning,,,,False,False,False,False,,TN,,2018,7,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,white,female,vehicle equipment violation,2018-07-01 02:30:00
426588,2011-04-01,01:05:00,"S 11TH ST & WOODLAND ST, NASHVILLE, TN, 37206",36.1775691,-86.7499363,2.0,1201.0,213.0,51.0,6e95f38057,vehicular,False,False,True,warning,,,,False,False,False,False,,TN,,2011,4,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,white,male,vehicle equipment violation,2011-04-01 01:05:00
455853,2011-05-01,00:42:00,"2001 8TH AVE S, NASHVILLE, TN, 37204",36.133904,-86.77943940000002,8.0,6919.0,823.0,23.0,be02c342d3,vehicular,False,False,True,warning,,,,False,False,False,False,,TN,,2011,5,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,black,female,moving traffic violation,2011-05-01 00:42:00
2645404,2017-01-01,12:18:00,"HAYWOOD CT & HAYWOOD CT, NASHVILLE, TN, 37211",36.0703711,-86.70162590000002,3.0,8707.0,321.0,18.0,0bfa5a7f73,vehicular,False,False,True,warning,,,,False,False,False,False,,TN,,2017,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,white,male,registration,2017-01-01 12:18:00
2692166,2017-03-01,17:57:00,"2ND AVE N & BROADWAY, NASHVILLE, TN, 37201",36.1618914,-86.77517639999998,4.0,4095.0,421.0,29.0,ff68412c8a,vehicular,False,False,True,warning,,,,False,False,False,False,,TN,,2017,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,black,male,vehicle equipment violation,2017-03-01 17:57:00
1533882,2013-12-01,08:09:00,"MURFREESBORO PIKE & THOMPSON PL, NASHVILLE, TN, 37217",36.12674620000001,-86.7110172,5.0,8821.0,531.0,29.0,559632f4a3,vehicular,False,False,True,warning,,,,False,False,False,False,,TN,,2013,12,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,white,male,vehicle equipment violation,2013-12-01 08:09:00
938963,2012-07-01,18:15:00,"4285 SIDCO DR, NASHVILLE, TN, 37204",36.08519879999999,-86.7625307,8.0,8529.0,825.0,53.0,7b3aa52401,vehicular,False,False,True,warning,,,,False,False,False,False,,TN,,2012,7,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,white,female,moving traffic violation,2012-07-01 18:15:00
1619599,2014-02-01,11:49:00,"21ST AVE S & BLAIR BLVD, NASHVILLE, TN, 37212",36.1303898,-86.80196509999998,8.0,6605.0,815.0,26.0,9dadcd316d,vehicular,False,False,True,warning,,,,False,False,False,False,,TN,OCT -- TAGS ON ---- RED TOY PU,2014,2,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,white,male,registration,2014-02-01 11:49:00
3058602,2018-09-01,11:54:00,"S 1ST ST & WOODLAND ST, NASHVILLE, TN, 37213",36.1690652,-86.7722128,4.0,1133.0,413.0,34.0,b908cb6e33,vehicular,False,True,True,citation,,,,False,False,False,False,,TN,,2018,9,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,white,female,moving traffic violation,2018-09-01 11:54:00
2626682,2016-12-01,22:34:00,"BELL RD & STEWARTS FERRY PIKE, NASHVILLE, TN, 37214",36.152201700000006,-86.62497350000002,5.0,8995.0,533.0,57.0,adf5df7aac,vehicular,False,False,True,warning,,,,False,False,False,False,,TX,RAN LIGHT,2016,12,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,black,male,moving traffic violation,2016-12-01 22:34:00
1373870,2013-07-01,18:53:00,"MARILYN RD & MORROW RD, NASHVILLE, TN, 37209",36.1620808,-86.8606751,1.0,4625.0,111.0,22.0,eee7593f67,vehicular,False,False,True,warning,,,,False,False,False,False,,TN,,2013,7,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,white,female,moving traffic violation,2013-07-01 18:53:00
674539,2011-12-01,19:05:00,"ANTIOCH PIKE & RICHARDS RD, ANTIOCH, TN, 37013",36.0690845,-86.68386509999998,3.0,8857.0,325.0,44.0,d834cb8500,vehicular,False,False,True,warning,,,,False,False,False,False,,TN,,2011,12,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,white,female,investigative stop,2011-12-01 19:05:00
